P(a | i.) 0.04067660088602497
P(out, | broke) 0.08095046314941601
P(which | out,) 0.04067660088602497
P(increased | was) 0.00842860719352416
P(by | increased) 0.042383550146873686
P(guardsmen, | two) 0.029855158143659476
P(who | guardsmen,) 0.042383550146873686
P(took | who) 0.019870155420027544
P(sides | took) 0.03503295178633368
P(with | sides) 0.042383550146873686
P(one | with) 0.01265188525616936
P(loungers, | the) 0.0026521019877635693
P(and | loungers,) 0.042383550146873686
P(by | and) 0.004636643253913602
P(who | scissors-grinder,) 0.042383550146873686
P(equally | was) 0.00842860719352416
P(hot | equally) 0.042383550146873686
P(side. | other) 0.0317310713163682
P(a | side.) 0.042383550146873686
P(blow | a) 0.004813420387933088
P(was | blow) 0.042383550146873686
P(and | struck,) 0.042383550146873686
P(instant | an) 0.023581601681064674
P(the | instant) 0.04067660088602497
P(lady, | the) 0.0026521019877635693
P(who | lady,) 0.042383550146873686
P(stepped | had) 0.014673834083975011
P(from | stepped) 0.04067660088602497
P(carriage, | her) 0.02111645410830023
P(centre | the) 0.0026521019877635693
P(of | centre) 0.042383550146873686
P(knot | little) 0.028188668713368687
P(of | knot) 0.04067660088602497
P(flushed | of) 0.004375514447862063
P(and | flushed) 0.042383550146873686
P(struggling | and) 0.004636643253913602
P(men, | struggling) 0.042383550146873686
P(who | men,) 0.042383550146873686
P(savagely | struck) 0.042383550146873686
P(at | savagely) 0.042383550146873686
P(other | each) 0.03910181958962446
P(with | other) 0.0317310713163682
P(fists | their) 0.0317310713163682
P(and | fists) 0.042383550146873686
P(sticks. | and) 0.004636643253913602
P(holmes | sticks.) 0.042383550146873686
P(into | dashed) 0.04067660088602497
P(crowd | the) 0.0026521019877635693
P(to | crowd) 0.03910181958962446
P(protect | to) 0.004790589574538728
P(the | protect) 0.042383550146873686
P(lady; | the) 0.0026521019877635693
P(but, | lady;) 0.042383550146873686
P(just | but,) 0.042383550146873686
P(as | just) 0.029855158143659476
P(reached | he) 0.009918491603653148
P(her, | reached) 0.04067660088602497
P(gave | he) 0.009918491603653148
P(a | gave) 0.03910181958962446
P(cry | a) 0.009579183148262877
P(and | cry) 0.03629177146963708
P(dropped | and) 0.004636643253913602
P(to | dropped) 0.04067660088602497
P(ground, | the) 0.0026521019877635693
P(with | ground,) 0.042383550146873686
P(blood | the) 0.0026521019877635693
P(running | blood) 0.042383550146873686
P(freely | running) 0.03910181958962446
P(his | down) 0.02473671320107764
P(face. | his) 0.008499537153917361
P(at | face.) 0.04067660088602497
P(fall | his) 0.008499537153917361
P(the | fall) 0.042383550146873686
P(guardsmen | the) 0.0026521019877635693
P(took | guardsmen) 0.04067660088602497
P(to | took) 0.03503295178633368
P(their | to) 0.004790589574538728
P(heels | their) 0.0317310713163682
P(in | heels) 0.042383550146873686
P(and | direction) 0.042383550146873686
P(loungers | the) 0.0026521019877635693
P(in | loungers) 0.042383550146873686
P(a | while) 0.03276029841063899
P(better | of) 0.004375514447862063
P(people, | dressed) 0.03910181958962446
P(who | people,) 0.042383550146873686
P(watched | had) 0.014673834083975011
P(the | watched) 0.042383550146873686
P(scuffle | the) 0.0026521019877635693
P(without | scuffle) 0.042383550146873686
P(taking | without) 0.033858531679517266
P(part | taking) 0.04067660088602497
P(in | part) 0.033858531679517266
P(it, | in) 0.006786266209769535
P(in | crowded) 0.042383550146873686
P(to | in) 0.006786266209769535
P(the | help) 0.03910181958962446
P(and | lady) 0.04067660088602497
P(attend | to) 0.004790589574538728
P(to | attend) 0.042383550146873686
P(injured | the) 0.005277945540004726
P(man. | injured) 0.08095046314941601
P(irene | man.) 0.03629177146963708
P(as | adler,) 0.037644427879239654
P(still | will) 0.02111645410830023
P(call | still) 0.033858531679517266
P(her, | call) 0.03910181958962446
P(had | her,) 0.03910181958962446
P(hurried | had) 0.014673834083975011
P(up | hurried) 0.04067660088602497
P(steps; | the) 0.0026521019877635693
P(but | steps;) 0.042383550146873686
P(at | stood) 0.04067660088602497
P(with | top) 0.04067660088602497
P(her | with) 0.01265188525616936
P(superb | her) 0.02111645410830023
P(figure | superb) 0.042383550146873686
P(outlined | figure) 0.03910181958962446
P(against | outlined) 0.042383550146873686
P(lights | the) 0.0026521019877635693
P(of | lights) 0.042383550146873686
P(hall, | the) 0.0026521019877635693
P(looking | hall,) 0.042383550146873686
P(back | looking) 0.04067660088602497
P(the | “is) 0.04067660088602497
P(poor | the) 0.0026521019877635693
P(gentleman | poor) 0.042383550146873686
P(much | gentleman) 0.03503295178633368
P(hurt?” | much) 0.03629177146963708
P(she | hurt?”) 0.042383550146873686
P(asked. | she) 0.015579207157180319
P(is | “he) 0.03910181958962446
P(dead,” | is) 0.01163192445007486
P(cried | dead,”) 0.042383550146873686
P(several | cried) 0.042383550146873686
P(voices. | several) 0.04067660088602497
P(no, | “no,) 0.042383550146873686
P(there’s | no,) 0.042383550146873686
P(life | there’s) 0.04067660088602497
P(in | life) 0.04067660088602497
P(him!” | in) 0.006786266209769535
P(shouted | him!”) 0.042383550146873686
P(another. | shouted) 0.04067660088602497
P(“but | another.) 0.04067660088602497
P(he’ll | “but) 0.0317310713163682
P(be | he’ll) 0.042383550146873686
P(gone | be) 0.014673834083975011
P(you | before) 0.029855158143659476
P(get | can) 0.03629177146963708
P(him | get) 0.037644427879239654
P(hospital.” | to) 0.004790589574538728
P(a | “he’s) 0.042383550146873686
P(brave | a) 0.004813420387933088
P(fellow,” | brave) 0.042383550146873686
P(said | fellow,”) 0.042383550146873686
P(a | said) 0.0215673713431561
P(woman. | a) 0.004813420387933088
P(“they | woman.) 0.04067660088602497
P(would | “they) 0.042383550146873686
P(had | have) 0.014890166592952971
P(the | had) 0.014673834083975011
P(lady’s | the) 0.0026521019877635693
P(and | purse) 0.042383550146873686
P(watch | and) 0.004636643253913602
P(if | watch) 0.03629177146963708
P(it | if) 0.026010816379088336
P(been | hadn’t) 0.04067660088602497
P(for | been) 0.02252955610082534
P(him. | for) 0.018090632276553824
P(they | him.) 0.033858531679517266
P(a | were) 0.02414535022710973
P(gang, | a) 0.004813420387933088
P(and | gang,) 0.042383550146873686
P(one, | rough) 0.042383550146873686
P(too. | one,) 0.042383550146873686
P(ah, | too.) 0.042383550146873686
P(he’s | ah,) 0.042383550146873686
P(breathing | he’s) 0.042383550146873686
P(now.” | breathing) 0.042383550146873686
P(can’t | “he) 0.03910181958962446
P(lie | can’t) 0.03910181958962446
P(in | lie) 0.04067660088602497
P(may | street.) 0.03629177146963708
P(we | may) 0.026698387523129793
P(bring | we) 0.02414535022710973
P(him | bring) 0.07781649245063878
P(in, | him) 0.030764544623819678
P(marm?” | in,) 0.042383550146873686
P(bring | “surely.) 0.042383550146873686
P(into | him) 0.030764544623819678
P(sitting-room. | the) 0.0026521019877635693
P(there | sitting-room.) 0.042383550146873686
P(comfortable | a) 0.004813420387933088
P(sofa. | comfortable) 0.042383550146873686
P(way, | this) 0.02473671320107764
P(please!” | way,) 0.03910181958962446
P(and | slowly) 0.04067660088602497
P(solemnly | and) 0.004636643253913602
P(he | solemnly) 0.042383550146873686
P(borne | was) 0.00842860719352416
P(into | borne) 0.042383550146873686
P(briony | into) 0.02203796639755619
P(and | lodge) 0.03910181958962446
P(out | laid) 0.04067660088602497
P(room, | principal) 0.042383550146873686
P(while | room,) 0.042383550146873686
P(still | i) 0.005292668867578473
P(observed | still) 0.033858531679517266
P(the | observed) 0.042383550146873686
P(proceedings | the) 0.0026521019877635693
P(from | proceedings) 0.042383550146873686
P(my | from) 0.01716811150773415
P(post | my) 0.01265188525616936
P(by | post) 0.042383550146873686
P(the | window.) 0.037644427879239654
P(had | lamps) 0.04067660088602497
P(lit, | been) 0.02252955610082534
P(but | lit,) 0.04067660088602497
P(blinds | the) 0.0026521019877635693
P(had | blinds) 0.042383550146873686
P(been | not) 0.015823280589064705
P(drawn, | been) 0.02252955610082534
P(as | holmes) 0.02414535022710973
P(lay | he) 0.009918491603653148
P(upon | lay) 0.04067660088602497
P(couch. | the) 0.0026521019877635693
P(i | couch.) 0.042383550146873686
P(he | whether) 0.03629177146963708
P(compunction | with) 0.01265188525616936
P(at | compunction) 0.042383550146873686
P(moment | that) 0.010324031483185118
P(for | moment) 0.04067660088602497
P(part | the) 0.005277945540004726
P(he | part) 0.033858531679517266
P(playing, | was) 0.00842860719352416
P(but | playing,) 0.042383550146873686
P(never | i) 0.005292668867578473
P(felt | never) 0.037644427879239654
P(more | felt) 0.04067660088602497
P(heartily | more) 0.037644427879239654
P(ashamed | heartily) 0.04067660088602497
P(of | ashamed) 0.042383550146873686
P(life | my) 0.01265188525616936
P(than | life) 0.04067660088602497
P(when | than) 0.03276029841063899
P(the | saw) 0.033858531679517266
P(beautiful | the) 0.0026521019877635693
P(creature | beautiful) 0.04067660088602497
P(against | creature) 0.042383550146873686
P(whom | against) 0.037644427879239654
P(conspiring, | was) 0.00842860719352416
P(or | conspiring,) 0.042383550146873686
P(the | or) 0.023581601681064674
P(grace | the) 0.0026521019877635693
P(and | grace) 0.042383550146873686
P(kindliness | and) 0.004636643253913602
P(with | kindliness) 0.042383550146873686
P(waited | she) 0.015579207157180319
P(upon | waited) 0.042383550146873686
P(and | man.) 0.03629177146963708
P(it | yet) 0.03503295178633368
P(the | be) 0.014673834083975011
P(blackest | the) 0.0026521019877635693
P(treachery | blackest) 0.042383550146873686
P(to | treachery) 0.042383550146873686
P(holmes | to) 0.004790589574538728
P(draw | to) 0.004790589574538728
P(back | draw) 0.042383550146873686
P(now | back) 0.037644427879239654
P(from | now) 0.03503295178633368
P(which | part) 0.033858531679517266
P(intrusted | had) 0.014673834083975011
P(to | intrusted) 0.042383550146873686
P(hardened | i) 0.005292668867578473
P(heart, | my) 0.01265188525616936
P(and | heart,) 0.042383550146873686
P(took | and) 0.004636643253913602
P(the | took) 0.03503295178633368
P(smoke-rocket | the) 0.0026521019877635693
P(from | smoke-rocket) 0.042383550146873686
P(my | under) 0.033858531679517266
P(ulster. | my) 0.01265188525616936
P(after | ulster.) 0.042383550146873686
P(all, | after) 0.03910181958962446
P(i | all,) 0.042383550146873686
P(we | thought,) 0.042383550146873686
P(are | we) 0.04805163758068372
P(not | are) 0.023043577458361855
P(injuring | not) 0.015823280589064705
P(her. | injuring) 0.04067660088602497
P(we | her.) 0.04067660088602497
P(but | are) 0.023043577458361855
P(preventing | but) 0.018090632276553824
P(her | preventing) 0.042383550146873686
P(from | her) 0.02111645410830023
P(another. | injuring) 0.04067660088602497
P(sat | had) 0.014673834083975011
P(up | sat) 0.04067660088602497
P(upon | up) 0.02026891430864941
P(couch, | the) 0.0026521019877635693
P(and | couch,) 0.042383550146873686
P(him | saw) 0.0673818303721086
P(motion | him) 0.030764544623819678
P(like | motion) 0.042383550146873686
P(a | like) 0.03503295178633368
P(need | in) 0.006786266209769535
P(of | need) 0.042383550146873686
P(air. | of) 0.004375514447862063
P(a | air.) 0.042383550146873686
P(maid | a) 0.004813420387933088
P(rushed | maid) 0.04067660088602497
P(across | rushed) 0.04067660088602497
P(and | across) 0.037644427879239654
P(threw | and) 0.004636643253913602
P(open | threw) 0.03910181958962446
P(at | window.) 0.037644427879239654
P(instant | same) 0.03910181958962446
P(i | instant) 0.04067660088602497
P(raise | him) 0.030764544623819678
P(his | raise) 0.03629177146963708
P(and | hand) 0.03629177146963708
P(i | signal) 0.04067660088602497
P(tossed | i) 0.005292668867578473
P(my | tossed) 0.042383550146873686
P(into | rocket) 0.042383550146873686
P(with | room) 0.03629177146963708
P(“fire!” | of) 0.004375514447862063
P(the | “fire!”) 0.04067660088602497
P(word | the) 0.0026521019877635693
P(was | word) 0.04067660088602497
P(no | was) 0.00842860719352416
P(sooner | no) 0.0317310713163682
P(out | sooner) 0.042383550146873686
P(mouth | my) 0.01265188525616936
P(than | mouth) 0.042383550146873686
P(the | than) 0.03276029841063899
P(crowd | whole) 0.037644427879239654
P(of | crowd) 0.03910181958962446
P(spectators, | of) 0.004375514447862063
P(well | spectators,) 0.042383550146873686
P(dressed | well) 0.037644427879239654
P(and | dressed) 0.03910181958962446
P(ostlers, | ill—gentlemen,) 0.042383550146873686
P(and | ostlers,) 0.042383550146873686
P(servant | and) 0.004636643253913602
P(maids—joined | servant) 0.04067660088602497
P(in | maids—joined) 0.042383550146873686
P(general | a) 0.004813420387933088
P(shriek | general) 0.04067660088602497
P(of | shriek) 0.042383550146873686
P(thick | “fire!”) 0.04067660088602497
P(clouds | thick) 0.042383550146873686
P(of | clouds) 0.042383550146873686
P(smoke | of) 0.004375514447862063
P(curled | smoke) 0.042383550146873686
P(through | curled) 0.042383550146873686
P(and | room) 0.03629177146963708
P(out | and) 0.004636643253913602
P(window. | open) 0.03629177146963708
P(i | window.) 0.037644427879239654
P(caught | i) 0.005292668867578473
P(rushing | of) 0.004375514447862063
P(figures, | rushing) 0.042383550146873686
P(and | figures,) 0.042383550146873686
P(moment | a) 0.004813420387933088
P(later | moment) 0.04067660088602497
P(voice | the) 0.0026521019877635693
P(of | voice) 0.04067660088602497
P(from | holmes) 0.02414535022710973
P(within | from) 0.01716811150773415
P(assuring | within) 0.04067660088602497
P(them | assuring) 0.042383550146873686
P(that | them) 0.037644427879239654
P(false | a) 0.004813420387933088
P(slipping | alarm.) 0.042383550146873686
P(through | slipping) 0.042383550146873686
P(shouting | the) 0.0026521019877635693
P(crowd | shouting) 0.042383550146873686
P(i | crowd) 0.03910181958962446
P(my | made) 0.03629177146963708
P(to | way) 0.04067660088602497
P(street, | the) 0.0026521019877635693
P(was | minutes) 0.033858531679517266
P(rejoiced | was) 0.00842860719352416
P(to | rejoiced) 0.042383550146873686
P(my | find) 0.037644427879239654
P(friend’s | my) 0.01265188525616936
P(arm | friend’s) 0.04067660088602497
P(mine, | in) 0.006786266209769535
P(and | mine,) 0.042383550146873686
P(away | get) 0.037644427879239654
P(from | away) 0.037644427879239654
P(uproar. | of) 0.004375514447862063
P(he | uproar.) 0.042383550146873686
P(walked | he) 0.009918491603653148
P(swiftly | walked) 0.03910181958962446
P(silence | in) 0.006786266209769535
P(for | silence) 0.042383550146873686
P(few | some) 0.028997990238300318
P(until | minutes) 0.033858531679517266
P(we | until) 0.03910181958962446
P(had | we) 0.02414535022710973
P(turned | had) 0.014673834083975011
P(down | turned) 0.03910181958962446
P(one | down) 0.02473671320107764
P(streets | quiet) 0.04067660088602497
P(which | streets) 0.04067660088602497
P(towards | lead) 0.04067660088602497
P(the | towards) 0.04067660088602497
P(edgeware | the) 0.0026521019877635693
P(did | “you) 0.026010816379088336
P(it | did) 0.03629177146963708
P(very | it) 0.009113056031760354
P(nicely, | very) 0.026010816379088336
P(doctor,” | nicely,) 0.042383550146873686
P(he | doctor,”) 0.04067660088602497
P(“nothing | remarked.) 0.03910181958962446
P(could | “nothing) 0.042383550146873686
P(it | better.) 0.042383550146873686
P(all | is) 0.01163192445007486
P(right.” | all) 0.02473671320107764
P(the | have) 0.014890166592952971
